Escuela_DE,I_02,I_36,I_710,I_1114,I_06,I_714,I_314,Cob_est,Public + social secutity,pob,vincNBI,preciom2,Dist_CESAC,NEAR_FID,POINT_X,POINT_Y,DE,COMUNA,BARRIO
1_1,19.3,27.4,25.9,27.4,46.7,53.3,80.7,75.6,24.4,90368,3.872180451,2440.74109,1847.310303,10,106519.1811,104333.4398,1,2,RECOLETA
1_10,34.4,32.6,20.2,12.8,67,33,65.6,54.1,45.9,76968,1.537634409,2571.616277,2064.646211,22,100839.4441,107526.6059,10,13,BELGRANO
1_11,31.1,23.7,23,22.2,54.8,45.2,68.9,61.5,38.5,80797,1.6,2959.916252,1710.035935,17,98035.1598,99242.9117,11,10,VELEZ SARSFIELD
1_12,45.3,31.6,12.8,10.3,76.9,23.1,54.7,36.8,63.2,49334,1.459016393,3033.653793,2461.375023,24,100060.043,100186.034,12,7,FLORES
1_13,32.9,30,12.9,24.3,62.9,37.1,67.1,48.6,51.4,56572,0.985294118,2296.70422,1860.868403,19,96650.1735,98819.9795,13,10,VILLA LURO
1_14,31.6,27.6,26.3,14.5,59.2,40.8,68.4,43.4,56.6,58611,0.958333333,2697.634639,1230.235129,8,100969.296,104070.6789,14,15,CHACARITA
1_15,20.6,37.4,23.7,18.3,58,42,79.4,61.8,38.2,69709,1.447058824,2922.405682,1429.875233,22,97582.4711,106409.7681,15,12,VILLA URQUIZA
1_16,31,38.1,14.3,16.7,69.1,31,69,45.2,54.8,45594,2,2717.127069,2058.375822,23,95591.4065,103795.911,16,11,VILLA DEVOTO
1_17,53.1,35.2,6.9,4.8,88.3,11.7,46.9,15.9,84.1,60691,1.409090909,2253.035258,1307.019376,29,97347.2429,102767.9989,17,11,VILLA DEL PARQUE
1_18,30.5,27.1,18.6,23.7,57.6,42.4,69.5,72.9,27.1,54713,1.459016393,2394.934266,2034.084001,17,95361.2796,100648.9921,18,10,MONTE CASTRO
1_19,16.5,39.4,22.8,21.3,55.9,44.1,83.5,59.1,40.9,83642,2.076190476,2480.159874,1180.535506,16,103867.0863,98424.5914,19,4,NUEVA POMPEYA
1_20,40,34.6,12.3,13.1,74.6,25.4,60,41.5,58.5,31701,1.775,2324.901077,1530.897473,19,94517.1643,97448.1002,20,9,LINIERS
1_21,22.7,32,22.2,23.1,54.7,45.3,77.3,67.6,32.4,34909,0.740740741,1561.337467,319.3192091,20,99624.0885,93707.1807,21,8,VILLA LUGANO
1_5,30.6,34.2,23.4,11.7,64.8,35.1,69.4,47.7,52.3,53810,0,3156.055873,1242.676733,4,107897.9462,99486.4919,5,4,BARRACAS
1_6,33.5,28.4,21.1,17,61.9,38.1,66.5,53.7,46.3,67513,3.488372093,2242.204385,1695.376682,21,105674.0983,101905.5304,6,3,BALVANERA
1_7,40.9,33.6,15.5,10,74.5,25.5,59.1,30.9,69.1,57781,2.973684211,3265.271421,1386.818848,8,102117.2408,103377.6464,7,15,VILLA CRESPO
1_8,26.2,34.2,20.3,19.3,60.4,39.6,73.8,64.7,35.3,55051,0.909090909,1732.380522,1132.06265,14,101630.0893,99505.7548,8,7,PARQUE CHACABUCO
1_9,44.9,32.7,15.3,7.1,77.6,22.4,55.1,48,52,117341,2.791366906,2660.113988,1090.186406,8,103079.2762,104739.5751,9,14,PALERMO
10_1,24,35.5,25.6,14.9,59.5,40.5,76,62,38,31706,2.153846154,2253.23562,1080.604367,21,105771.1357,102849.5049,1,3,BALVANERA
10_10,44.6,35.6,17.8,2,80.2,19.8,55.4,43.6,56.4,48849,1.6,2355.087455,2424.204628,9,100261.5258,109158.5931,10,13,NUÃ‘EZ
10_11,30.9,28.9,17.5,22.7,59.8,40.2,69.1,73.2,26.8,102976,1.518796992,3284.352189,2010.990876,24,99790.1158,99143.8402,11,7,FLORES
10_12,49.5,27.5,13.2,9.8,77,23,50.5,35.8,64.2,61442,2.044117647,2949.474819,55.65755765,17,97348.2435,100864.9038,12,10,FLORESTA
10_13,24.2,31.1,28,16.7,55.3,44.7,75.8,72,28,55971,0.214285714,1854.268238,1728.003328,25,98852.1007,98276.8993,13,9,PARQUE AVELLANEDA
10_14,30.9,30.9,23.6,14.6,61.8,38.2,69.1,58.5,41.5,30784,1.162162162,2631.579532,1156.549644,29,99591.2889,103155.7575,14,15,PATERNAL
